Active,Address,Apartment,BankInfo,City,Commission,Country,DOB,Dept,EmpID,EndDate,Password,HomeEmail,HomePhone,Hourly,Name,OfficeEmail,OfficePhone,PayMethod,PermissionLevel,PermittedLockOn,Route,Salary,SSNum,StartDate,State,Title,Zip
True,b,,,,34,,0001-01-01 00:00:00,,688997,0001-01-01 00:00:00,,,,46.92,Karina Gay,,,1,0,False,30417353-K,45884.99,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,522759,0001-01-01 00:00:00,,,,,TaShya D. Snow,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,165966,0001-01-01 00:00:00,,,,,Rooney Alvarado,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,983010,0001-01-01 00:00:00,,,,,Jolene Burgess,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,939825,0001-01-01 00:00:00,,,,,Yoko M. Pitts,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,379767,0001-01-01 00:00:00,,,,,Jin W. Morrison,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,900100,0001-01-01 00:00:00,,,,,Sopoline Bullock,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,969829,0001-01-01 00:00:00,,,,,Bruce A. Raymond,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,283809,0001-01-01 00:00:00,,,,,Hanae Dickson,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,224568,0001-01-01 00:00:00,,,,,Jenna B. Strickland,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,752867,0001-01-01 00:00:00,,,,,Ruth S. Haley,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,163695,0001-01-01 00:00:00,,,,,Beatrice P. Ware,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,226423,0001-01-01 00:00:00,,,,,Randall Horton,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,349833,0001-01-01 00:00:00,,,,,Damian Garrison,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,531061,0001-01-01 00:00:00,,,,,Alvin Guerrero,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,169927,0001-01-01 00:00:00,,,,,Alexandra Y. Duke,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,454912,0001-01-01 00:00:00,,,,,Sylvester J. Rowland,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,285767,0001-01-01 00:00:00,,,,,Porter Wolfe,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,674261,0001-01-01 00:00:00,,,,,Scott T. Shields,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,265154,0001-01-01 00:00:00,,,,,Amir Mcintosh,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,160769,0001-01-01 00:00:00,,,,,Grant X. Mccarthy,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,426824,0001-01-01 00:00:00,,,,,Mira Y. Wolf,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,502141,0001-01-01 00:00:00,,,,,Brock Sandoval,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,934003,0001-01-01 00:00:00,,,,,Kelsey K. Saunders,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,377013,0001-01-01 00:00:00,,,,,Teagan Goodwin,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,123OremUT84444,,,,,,0001-01-01 00:00:00,dept,1,0001-01-01 00:00:00,,homeemail,123456789,,David Westw,,8011111111,,-1,False,,,-1,0001-01-01 00:00:00,,dev,
True,,,,,,,0001-01-01 00:00:00,,2,0001-01-01 00:00:00,,,,,Brenden Kiely,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,3,0001-01-01 00:00:00,,,,,Zach Ylst,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,4,0001-01-01 00:00:00,,,,,Joshua Kruegar,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,5,0001-01-01 00:00:00,,,,,Joseph Ware,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,,,,,,,0001-01-01 00:00:00,,6,0001-01-01 00:00:00,,,,,Mike Crowther,,,,-1,False,,,-1,0001-01-01 00:00:00,,,
True,123OremUT84444,,,,,,0001-01-01 00:00:00,dept,7,0001-01-01 00:00:00,,homeemail@gmail.com,123456789,,Test Admin,,8011111111,,-1,False,,,-1,0001-01-01 00:00:00,,dev,
